anchor,positive,negative
embeddings_train_data\bottomwear\anchor\b4e40aa33f8b4af36dbd4ee8f8be8237.jpg,embeddings_train_data\bottomwear\positive\fb5b96f435504e7bce07b3b37a2f268f.jpg,embeddings_train_data\bottomwear\positive\f1f31dcc2c107f39cb4d8b638db3fb14.jpg
embeddings_train_data\bottomwear\anchor\97a77d5976e57a1d8455f3824a960e38.jpg,embeddings_train_data\bottomwear\positive\eefe0c3cd01f5846ca23a7113c6c3b8f.jpg,embeddings_train_data\bottomwear\positive\419a7cf6fefc2596e1868334cc632209.jpg
embeddings_train_data\bottomwear\anchor\3552094210b742789c7de41a3abcf1e0.jpg,embeddings_train_data\bottomwear\positive\0a7db41d6e80ed6dc737f41d5435793c.jpg,embeddings_train_data\bottomwear\positive\14bfcf15761f627b1caff57eaad90b15.jpg
embeddings_train_data\bottomwear\anchor\f1156d7d0bcd3287c16d2fc3e97963bd.jpg,embeddings_train_data\bottomwear\positive\3eac15e34eb5d29ac484b5d5d40c6ccc.jpg,embeddings_train_data\bottomwear\positive\5914a94665ac987bf3c6b282096a92a5.jpg
embeddings_train_data\bottomwear\anchor\b4e40aa33f8b4af36dbd4ee8f8be8237.jpg,embeddings_train_data\bottomwear\positive\95b4a83cd762243db9fd962ae8d78954.jpg,embeddings_train_data\bottomwear\positive\08ff3301214dd899eb49a822c120bafb.jpg
embeddings_train_data\bottomwear\anchor\998efb30f308f64376759d14ae29661f.jpg,embeddings_train_data\bottomwear\positive\f14ddea3fb1eab5356b55a1337d93ddf.jpg,embeddings_train_data\bottomwear\positive\cb520b3e55e66dc6e9060a6e451bbe58.jpg
embeddings_train_data\bottomwear\anchor\35735550a706fc833d9ee1b06be24858.jpg,embeddings_train_data\bottomwear\positive\2453b799743ed5adf7dfac8dc88e4b58.jpg,embeddings_train_data\bottomwear\positive\601ced624cdccd56355d8fae2a32f73c.jpg
embeddings_train_data\bottomwear\anchor\47817e1471a71ae15289f03086d9e7c5.jpg,embeddings_train_data\bottomwear\positive\9b658e4f88c26616a1d80979ec655ec4.jpg,embeddings_train_data\bottomwear\positive\661b032e6aa1d1ac48acb25de4759c9f.jpg
embeddings_train_data\bottomwear\anchor\0e3d26a923c68322f6e6a06943559a71.jpg,embeddings_train_data\bottomwear\positive\cf4be00ed4a5d8cada1560203a05be69.jpg,embeddings_train_data\bottomwear\positive\e2c329a2e209130ebaf7735c79e5ed4d.jpg
embeddings_train_data\bottomwear\anchor\5fe9e70fb595c3bcbf6ed296d7f18d89.jpg,embeddings_train_data\bottomwear\positive\f3781eaf35707ec19e5b519cec6278ba.jpg,embeddings_train_data\bottomwear\positive\555c71a0908cdf12fccf6e5ab4cbe274.jpg
embeddings_train_data\bottomwear\anchor\42a00e3487572f96955e28e7fb3aa189.jpg,embeddings_train_data\bottomwear\positive\db948ca66e542a20d52bfd8efdcd7f56.jpg,embeddings_train_data\bottomwear\positive\33dd8de52285e46d779f24c6f0a7bfd0.jpg
embeddings_train_data\bottomwear\anchor\a1a3396671129678c0635b926a3450cb.jpg,embeddings_train_data\bottomwear\positive\36baf4a30eb56c32edddf46ed6af841d.jpg,embeddings_train_data\bottomwear\positive\8bbec570d235434c89d497cb7f68234f.jpg
embeddings_train_data\bottomwear\anchor\fc18acef8404e76b277a4970aa3d75af.jpg,embeddings_train_data\bottomwear\positive\a610da57702c7ca204e03c4359882aae.jpg,embeddings_train_data\bottomwear\positive\2bff7d0aeab30d9528350a56cb4b3e9b.jpg
embeddings_train_data\bottomwear\anchor\9eaeedef6a05a4dc2a4863665cb0b908.jpg,embeddings_train_data\bottomwear\positive\87b31ab003ee29ccca5519f6bc56d27d.jpg,embeddings_train_data\bottomwear\positive\484bde6986df24d1b95633645401731a.jpg
embeddings_train_data\bottomwear\anchor\79be61f9904e1397c184efdbddc98149.jpg,embeddings_train_data\bottomwear\positive\8c2b1ae34e38a80b13c6a2518955ad4f.jpg,embeddings_train_data\bottomwear\positive\917b41a3e843beb86306075d42bdf70e.jpg
embeddings_train_data\bottomwear\anchor\179cddfe8759085c28c072459af08ee9.jpg,embeddings_train_data\bottomwear\positive\b02edfcd94dc573ef76f102abbee23b0.jpg,embeddings_train_data\bottomwear\positive\06005b65b37608ad7fd20e6e5f142e8a.jpg
embeddings_train_data\bottomwear\anchor\bb697a7a142374ef694a66051a81506a.jpg,embeddings_train_data\bottomwear\positive\7cd0483af5be9d171720b3ed093a980a.jpg,embeddings_train_data\bottomwear\positive\404a0e6124a1c81b16043918444eb503.jpg
embeddings_train_data\bottomwear\anchor\02c10d111c96a41a93bd2ae8341d0f88.jpg,embeddings_train_data\bottomwear\positive\31013c07a57a4adcd53f2a012cb173a1.jpg,embeddings_train_data\bottomwear\positive\2e18472d7f357de857c4fb5df91ce004.jpg
embeddings_train_data\bottomwear\anchor\603e26b437d8bc91690e40bc403f6858.jpg,embeddings_train_data\bottomwear\positive\5cd74445ba553d1aea254fdfb30ab767.jpg,embeddings_train_data\bottomwear\positive\0fab28716a989dfda9ed97e8a61f6d6e.jpg
