anchor,positive,negative
embeddings_train_data\footwear\anchor\93deaa38d2a7fe503c1bc80ba57a67bd.jpg,embeddings_train_data\footwear\positive\4d29ac033a94ee4d006476ce9459c22b.jpg,embeddings_train_data\footwear\positive\81f662e5c2a7ec08b54ff57d7c131e9e.jpg
embeddings_train_data\footwear\anchor\f1680c6862aeb3be36b4a7617b99e53c.jpg,embeddings_train_data\footwear\positive\fe16c865854f1756cd5b5eb39f97d641.jpg,embeddings_train_data\footwear\positive\07b67daff022633789ae0e755c8bffe4.jpg
embeddings_train_data\footwear\anchor\1d43cf07e27179269ddbc6b50c6caf10.jpg,embeddings_train_data\footwear\positive\8d5b6f2896b0e5e794a3a9ed152adea2.jpg,embeddings_train_data\footwear\positive\ddad57d4962a7b7a36795099ed097af9.jpg
embeddings_train_data\footwear\anchor\e3a0aba42cbc42d278bd1d1ae171a168.jpg,embeddings_train_data\footwear\positive\713d34df59d4d00a0c577be8f13ed5a3.jpg,embeddings_train_data\footwear\positive\de078a3a923d0260ce34b5480fb777f5.jpg
embeddings_train_data\footwear\anchor\490336089107a81e4a6823aaba355f0b.jpg,embeddings_train_data\footwear\positive\e7d9515661b9047d68fc4327a2b26553.jpg,embeddings_train_data\footwear\positive\c2dbe7ae20ff07e87e387a6e774d084e.jpg
embeddings_train_data\footwear\anchor\18f7dabe078579360d8b3d0f7ed10a29.jpg,embeddings_train_data\footwear\positive\4a38148ec81a8875ed7bcfdf49247771.jpg,embeddings_train_data\footwear\positive\f1426e3afb63bd4fb6cac31a4a3b5215.jpg
embeddings_train_data\footwear\anchor\2800603f4665fbdcf7339963d5a19310.jpg,embeddings_train_data\footwear\positive\d2e152f94b9c70c65d3e289e09e381f1.jpg,embeddings_train_data\footwear\positive\7425f206e4b6d772ed2f8265f52a101c.jpg
embeddings_train_data\footwear\anchor\9f0650bd9630b3ed6dce17be8d31dc76.jpg,embeddings_train_data\footwear\positive\0f5485cdc4f4375f3b7fd523f3d968d4.jpg,embeddings_train_data\footwear\positive\8a45c74db6b079fb67eb4fd1ce04e86e.jpg
embeddings_train_data\footwear\anchor\1aedd9ff0b40a1836beb946d32cf034d.jpg,embeddings_train_data\footwear\positive\ffb30a761779ba90458c276c8f90d2c9.jpg,embeddings_train_data\footwear\positive\96714331248dc2df888f84555fcf24a4.jpg
embeddings_train_data\footwear\anchor\d36c9ab2fa2acd2818be8e373c82bb26.jpg,embeddings_train_data\footwear\positive\45b89d3bcce45f660b66096efc03b871.jpg,embeddings_train_data\footwear\positive\90dfb907d0c9cfb2db480886492ca78d.jpg
embeddings_train_data\footwear\anchor\bafe8e2d40bd683b1df086a07949121f.jpg,embeddings_train_data\footwear\positive\83b7f84caaa3695a2cf39043342c055a.jpg,embeddings_train_data\footwear\positive\a6bd6a16fc4d21cee262c8ef7b12aa17.jpg
embeddings_train_data\footwear\anchor\6edd129938d62f4cffb6a8a5b440761e.jpg,embeddings_train_data\footwear\positive\1619017a2d5eaa44a8a717762d249ac0.jpg,embeddings_train_data\footwear\positive\fdd2a914a7443f2e3e12f25e8369651a.jpg
embeddings_train_data\footwear\anchor\0ce59f5e34939b53d9f7995dcea3b9cb.jpg,embeddings_train_data\footwear\positive\28839004967bcbce940bf8cb19d21baa.jpg,embeddings_train_data\footwear\positive\f5a4f04791abc88334a1aa6e14b62a54.jpg
embeddings_train_data\footwear\anchor\d42856b11d96c8b6b95170f81bd00a0f.jpg,embeddings_train_data\footwear\positive\6d883b6d9436bf034d00e03ee3572d36.jpg,embeddings_train_data\footwear\positive\166c8f20e249a97f67ca30e71badef7b.jpg
embeddings_train_data\footwear\anchor\52daf8f1c69d9b0240af39d2fb66444d.jpg,embeddings_train_data\footwear\positive\216b204e434f67d082425d0e78cbc101.jpg,embeddings_train_data\footwear\positive\912f0b4b5ec8c34c90b0b18ae2b5b60f.jpg
embeddings_train_data\footwear\anchor\e2222a1037942c90ac95a4ddfd71ce14.jpg,embeddings_train_data\footwear\positive\3cf72c1a6e539e5d738e5707bba67b00.jpg,embeddings_train_data\footwear\positive\7ac084fe08ab680943dfc48d7a54b653.jpg
embeddings_train_data\footwear\anchor\d09849966dbac1ad7fa7a2a155d1e7ba.jpg,embeddings_train_data\footwear\positive\4b4e2d857092cb8c072b62feee4b9b67.jpg,embeddings_train_data\footwear\positive\e31ed5fba8b1e5d933b522c7b71c36b6.jpg
embeddings_train_data\footwear\anchor\d307e58b65fccd783fea4f57b50eefe6.jpg,embeddings_train_data\footwear\positive\f3430e672d8efffe050d057947687adc.jpg,embeddings_train_data\footwear\positive\df37273e7860f5466712b3684406a494.jpg
embeddings_train_data\footwear\anchor\bdfa2aa9cae6a0a8a0b3ede4db3a2b36.jpg,embeddings_train_data\footwear\positive\f05f16ac4231d53da98ff3a229de6e56.jpg,embeddings_train_data\footwear\positive\5203a7c8b3a9e8185f4711d84b3a5809.jpg
embeddings_train_data\footwear\anchor\237273c7578081861da20ad3290dada0.jpg,embeddings_train_data\footwear\positive\b0f2edec695f7621bb3634f3382d5f7c.jpg,embeddings_train_data\footwear\positive\f45078b34a9a5505416563c38611fba8.jpg
embeddings_train_data\footwear\anchor\6f51a176d2f4f807c8493d5f59bd225d.jpg,embeddings_train_data\footwear\positive\62e79b2cc3745e022c1bd69b6eaf4902.jpg,embeddings_train_data\footwear\positive\4220429bff988672d8bc545eb1489ca7.jpg
embeddings_train_data\footwear\anchor\36976117127efd720559c667b812ce1f.jpg,embeddings_train_data\footwear\positive\53cee0e1d55c39e251f1713df06bfd66.jpg,embeddings_train_data\footwear\positive\3fdd6038733a97eefacab499dfe5a1b4.jpg
embeddings_train_data\footwear\anchor\a3837660bb59c208384a0b5d1936721b.jpg,embeddings_train_data\footwear\positive\daf928d89903b0054f60a31f4c7acb97.jpg,embeddings_train_data\footwear\positive\8583d3575b21445ce6bc3512ec231523.jpg
embeddings_train_data\footwear\anchor\57dbbf432256327bb6d76a29148e62c4.jpg,embeddings_train_data\footwear\positive\9c73901340b42e8a3fe73e5ca613ca2d.jpg,embeddings_train_data\footwear\positive\4b4e2d857092cb8c072b62feee4b9b67.jpg
embeddings_train_data\footwear\anchor\cb9c52f9e2373d35b26f7bd06c5f817e.jpg,embeddings_train_data\footwear\positive\e753b69668f5d8288d012657109a3fab.jpg,embeddings_train_data\footwear\positive\e63b7307704c492f2f5d354b7e8e7dfa.jpg
embeddings_train_data\footwear\anchor\2b33543a89f18f9ec1094490b0802677.jpg,embeddings_train_data\footwear\positive\f0983dd6b570acc79ff369ab7a6abd0f.jpg,embeddings_train_data\footwear\positive\e896a4c8d0110e25ffc2f3f420c763df.jpg
embeddings_train_data\footwear\anchor\0ae11753604c0b53750d792d61b79f47.jpg,embeddings_train_data\footwear\positive\7586bbe9faa99e40afee71be54c1fd62.jpg,embeddings_train_data\footwear\positive\d6dcbe03a6c7770732ad11a808502f96.jpg
embeddings_train_data\footwear\anchor\a5269b393a0c6e2e126b41bbb9981657.jpg,embeddings_train_data\footwear\positive\24aa025315af659ce3bc29f1b3fe268e.jpg,embeddings_train_data\footwear\positive\223d6e7b91ea7407ec460fa9200bf6be.jpg
embeddings_train_data\footwear\anchor\bccbf1ab0a7e2a6f8823f4e5d6f604cf.jpg,embeddings_train_data\footwear\positive\77e65a7083c4d40128f324deff52ef17.jpg,embeddings_train_data\footwear\positive\aa08c828c8229623debea7b00e732583.jpg
embeddings_train_data\footwear\anchor\2b3216e46fefa111fbac21c6b131cdcd.jpg,embeddings_train_data\footwear\positive\1a242ff9adc8a607fb81523aa8d8fb4f.jpg,embeddings_train_data\footwear\positive\94bac4b2bcf8bb066a2b275bd8103fe8.jpg
embeddings_train_data\footwear\anchor\f07dd351a7698ed3bc0e8847d630bef7.jpg,embeddings_train_data\footwear\positive\8a10a6b062370fc8633d2d4b31801351.jpg,embeddings_train_data\footwear\positive\3a6b6c1ec79b45b688ee624f6b8aeb26.jpg
embeddings_train_data\footwear\anchor\7f862a7d3b0ee6ac156f6e88d5bfdb25.jpg,embeddings_train_data\footwear\positive\792cf72efb8e3d4b3b2611a82e3ac020.jpg,embeddings_train_data\footwear\positive\da036670953437531c12b699174e521f.jpg
embeddings_train_data\footwear\anchor\f213470e35e1250e8b0b686bec2855b1.jpg,embeddings_train_data\footwear\positive\c39f9cd1c66d174b346af7545df17b45.jpg,embeddings_train_data\footwear\positive\4cc6d81c99d13e713f406047f49cac00.jpg
embeddings_train_data\footwear\anchor\d420f1e5a6681cb5043aa46e62840ff3.jpg,embeddings_train_data\footwear\positive\e0fa34066dfa4fad1fe20cb8f70cc027.jpg,embeddings_train_data\footwear\positive\2d88fd5600e9ee9afbd628561dcad5ea.jpg
embeddings_train_data\footwear\anchor\aa3b5b99e6d33ba130a7b1e5531ab766.jpg,embeddings_train_data\footwear\positive\b7763ada993977b897e0dd3c4679e98c.jpg,embeddings_train_data\footwear\positive\b51b4ff9429b83faa43a3255156a2022.jpg
embeddings_train_data\footwear\anchor\7f862a7d3b0ee6ac156f6e88d5bfdb25.jpg,embeddings_train_data\footwear\positive\d1c8291fc6d4dfdb701cd640c9be783b.jpg,embeddings_train_data\footwear\positive\14e95aaa91a9d517d8d2eb5a97e32eb9.jpg
embeddings_train_data\footwear\anchor\31b7b93f3cfae13dcc78c39f7688a37f.jpg,embeddings_train_data\footwear\positive\a6299be1fd5706fd657c764c48c534b0.jpg,embeddings_train_data\footwear\positive\82e7a26ba6059dff10f46e5470af9137.jpg
embeddings_train_data\footwear\anchor\f8c6037eb60f3dbf4de41b61bccd261c.jpg,embeddings_train_data\footwear\positive\d09bbd1beef9d6ff5af2d9f667d8da22.jpg,embeddings_train_data\footwear\positive\200ef467cdd3c6695c921fbaa384807a.jpg
embeddings_train_data\footwear\anchor\3d88519b103aae9cac46201ddd60d2c2.jpg,embeddings_train_data\footwear\positive\073ba758c08f332aff9ad41176e11400.jpg,embeddings_train_data\footwear\positive\5573db8e770992ac5632dfa62dde7ff9.jpg
embeddings_train_data\footwear\anchor\0dc5bdc38fae16e7a0f90b3539f58b17.jpg,embeddings_train_data\footwear\positive\551bd6cb776f430ac09868382b94a291.jpg,embeddings_train_data\footwear\positive\934efbed9697684bdb6c946454eca507.jpg
embeddings_train_data\footwear\anchor\2dadf497b8e7467b195784bbcdb6dd04.jpg,embeddings_train_data\footwear\positive\4918267d6f1cc1b2e0edcd32a17424f2.jpg,embeddings_train_data\footwear\positive\d901f45c116ce810c83cb33f72674647.jpg
embeddings_train_data\footwear\anchor\39c346d5f548c54464db2a55462a9f64.jpg,embeddings_train_data\footwear\positive\92cb2d2aa9dfd479c7d94955cf02dde6.jpg,embeddings_train_data\footwear\positive\e89cd50d6e91c2b86ecd4aec0656ce1a.jpg
embeddings_train_data\footwear\anchor\12b1a86f4dcdff2b9d2753aabd56839f.jpg,embeddings_train_data\footwear\positive\1cd9f56a173c2fe260329a51d461b17b.jpg,embeddings_train_data\footwear\positive\448eaaa5e2a39f04c031cc17387184f3.jpg
embeddings_train_data\footwear\anchor\90e13e47a0995f3ef458c755cdfe73c9.jpg,embeddings_train_data\footwear\positive\bce6d886627789387f23e8f98b0aa127.jpg,embeddings_train_data\footwear\positive\1deca4bdd4f01552d8e0f18dd134a39a.jpg
embeddings_train_data\footwear\anchor\d1ce5b3aac0c1beb2fbb5b0811ccc721.jpg,embeddings_train_data\footwear\positive\2c3c9a478676e48eb0fba539b9892451.jpg,embeddings_train_data\footwear\positive\80a8a1b221a8ab90c881fa9f1908b366.jpg
embeddings_train_data\footwear\anchor\8d6b636062b20311934e1df56f055427.jpg,embeddings_train_data\footwear\positive\80a8a1b221a8ab90c881fa9f1908b366.jpg,embeddings_train_data\footwear\positive\8f245c26a03bc9e432f5801304b027a7.jpg
embeddings_train_data\footwear\anchor\ef0a17147995950ad0be956a630cc784.jpg,embeddings_train_data\footwear\positive\d00e9f7acfc06ebffd73e192c0fadf26.jpg,embeddings_train_data\footwear\positive\037a36524b6ba413e13cf79856586d16.jpg
embeddings_train_data\footwear\anchor\eedd5653c75dceeb41dfe4fd4ff1b424.jpg,embeddings_train_data\footwear\positive\b43b1384a347541f5eef8c139455ad6f.jpg,embeddings_train_data\footwear\positive\b4d4f375914cfb9ecac8d486f77b0f36.jpg
embeddings_train_data\footwear\anchor\c1775ef0a88d9b95773d024a1e8e8327.jpg,embeddings_train_data\footwear\positive\3456ee36105ca33c7bf21767586e6603.jpg,embeddings_train_data\footwear\positive\5cb60fbec0bb2b54316eb3ae2c1e7ebc.jpg
embeddings_train_data\footwear\anchor\1f0cc807c645d73d467edb6782afbb9e.jpg,embeddings_train_data\footwear\positive\e31cdb0677a0b18be837799e643963b4.jpg,embeddings_train_data\footwear\positive\4b6de12f8e5eee657099adfe9a7ea11c.jpg
embeddings_train_data\footwear\anchor\518276936f6bf72a34ae84bba7527638.jpg,embeddings_train_data\footwear\positive\59c34aeb62820a823eefc6064865240f.jpg,embeddings_train_data\footwear\positive\1a6b9db9ea0b99329cedacf30813de6f.jpg
embeddings_train_data\footwear\anchor\5dd94cc0bb288139c7002af04f790338.jpg,embeddings_train_data\footwear\positive\5d2961f95ef9d9d8c379ed85396e4339.jpg,embeddings_train_data\footwear\positive\b1542987d65511dbe48fcc26894e4942.jpg
embeddings_train_data\footwear\anchor\bbf77488209e98a69f2ee49418b6e9ac.jpg,embeddings_train_data\footwear\positive\fde8e9d1db0aa031bb7a1c7c20a3050f.jpg,embeddings_train_data\footwear\positive\57007776656b1ac278b82043dd1dc5ce.jpg
embeddings_train_data\footwear\anchor\8d493bb986aaccd5ba7eb729bae920f6.jpg,embeddings_train_data\footwear\positive\f0f5aaf17cc1d88078c709a2485f3995.jpg,embeddings_train_data\footwear\positive\17c9147a83ab5e53db851924b840ede3.jpg
