anchor,positive,negative
embeddings_train_data\topwear\anchor\61e7bb3d4d990c045dda6ad49a59fa67.jpg,embeddings_train_data\topwear\positive\5419c93a30731b38e2cb03d28dd95c6c.jpg,embeddings_train_data\topwear\positive\a9b1084930da00378cffc35cf14c4b2b.jpg
embeddings_train_data\topwear\anchor\e419ebb679795f1c18c010a72f053290.jpg,embeddings_train_data\topwear\positive\630fb1466d87d367496a4a7b8db07c68.jpg,embeddings_train_data\topwear\positive\158bb849537ff836f8d36d44dff83a4d.jpg
embeddings_train_data\topwear\anchor\8ac750bc310db899684b5c427a5a180f.jpg,embeddings_train_data\topwear\positive\2b0cf19be1fb55ea02ba2cfbd37b653b.jpg,embeddings_train_data\topwear\positive\186e7982e7f32573b3c21bc1fa810264.jpg
embeddings_train_data\topwear\anchor\dddc81ac56e6f133ce1a684eacc17637.jpg,embeddings_train_data\topwear\positive\0303c52e81856615b5c9b38cad5527f8.jpg,embeddings_train_data\topwear\positive\e6b19655e090eceb7eac1e0cfa03f346.jpg
embeddings_train_data\topwear\anchor\13feb5e886dfb011eedef14b3cb1301d.jpg,embeddings_train_data\topwear\positive\1a8f659ec50593f7c1502945e3078ed1.jpg,embeddings_train_data\topwear\positive\6d96c34eb8356aeeb16b1cb1c94eb9e8.jpg
embeddings_train_data\topwear\anchor\caf3b83c487432b22a2f331d88d1a4f2.jpg,embeddings_train_data\topwear\positive\b46ba3b59e0f2f7835eb712163efd86f.jpg,embeddings_train_data\topwear\positive\b49dcf52849cf818e66bd1c1ab0e8465.jpg
embeddings_train_data\topwear\anchor\832893d1be3f9e9147abf2c4e6e77aa0.jpg,embeddings_train_data\topwear\positive\2417fc51f15a5d053a4cb3f40565645e.jpg,embeddings_train_data\topwear\positive\97c0d052ffa835b3fad28759f04f306c.jpg
embeddings_train_data\topwear\anchor\9164d188eda058d8cbad95021ea939b6.jpg,embeddings_train_data\topwear\positive\10ada3f05aefdf9d3b928235ad3b62bd.jpg,embeddings_train_data\topwear\positive\2cf8e1e1bab704e16cdda3a5c0af359f.jpg
embeddings_train_data\topwear\anchor\778b7b6781125e5d2ddffb1e98239256.jpg,embeddings_train_data\topwear\positive\b79ac0a5ae9641bb71cbdcf5209e5187.jpg,embeddings_train_data\topwear\positive\5afc1535f455e718a5c27506d08039c8.jpg
embeddings_train_data\topwear\anchor\47b161ed5478658326b0a67dff98d2cd.jpg,embeddings_train_data\topwear\positive\5649b8d41268c027737bf0290ce3e273.jpg,embeddings_train_data\topwear\positive\ecf5f4108a7c3e3c03e9a5179ef381b4.jpg
embeddings_train_data\topwear\anchor\c6bc83eb32dca68aa89da449d9080cf5.jpg,embeddings_train_data\topwear\positive\5bf81688f3c0219a660f0ecf36b0147f.jpg,embeddings_train_data\topwear\positive\eb5ccec0895cf3629cb12fc0fbbf8a5a.jpg
embeddings_train_data\topwear\anchor\159613e877556bda46525c8caad64359.jpg,embeddings_train_data\topwear\positive\d9ee646ac267f004f57cb59a53d6b2a1.jpg,embeddings_train_data\topwear\positive\ed9520a22f73641794d125b13198c4f7.jpg
embeddings_train_data\topwear\anchor\2693fc0b43143136623c3b517d604e0b.jpg,embeddings_train_data\topwear\positive\e3262c68cff0b2672b71b973de050eb9.jpg,embeddings_train_data\topwear\positive\e3189352feac272d652e8ef7ac295b6c.jpg
embeddings_train_data\topwear\anchor\546d42c385b06f5cc67ab04ea1687541.jpg,embeddings_train_data\topwear\positive\163911b7f87800e130b54f81e2f1f1da.jpg,embeddings_train_data\topwear\positive\723e27d08a36052f1bd90f7bd266d79e.jpg
embeddings_train_data\topwear\anchor\df84c553001f572c91bee9fb51446248.jpg,embeddings_train_data\topwear\positive\896393ed77da206962ce32f20452988a.jpg,embeddings_train_data\topwear\positive\613760ecda9f7b6c761920a6fd9bd4a9.jpg
embeddings_train_data\topwear\anchor\f05e79f9d07d8d44e4e838127af0070f.jpg,embeddings_train_data\topwear\positive\adf8fa6f81d76a0d73a4aa5e621bb022.jpg,embeddings_train_data\topwear\positive\39c11cc70cd2053fb2ddd292c29af77b.jpg
embeddings_train_data\topwear\anchor\a8df6bfc568855cdd6124aed2561d4bd.jpg,embeddings_train_data\topwear\positive\05b7f24343f3abc77b9e47a6fab5e409.jpg,embeddings_train_data\topwear\positive\f3f82a02fc7185549cdf7eb5a30d2e4a.jpg
embeddings_train_data\topwear\anchor\ae2323b86ebc3b556c89b6d30687ad6e.jpg,embeddings_train_data\topwear\positive\d3233256b88a20fa4502ab12942190a6.jpg,embeddings_train_data\topwear\positive\4c29dd2bdff5f05788ad69dfd5a9f122.jpg
embeddings_train_data\topwear\anchor\da320e1b282785cf88719e91c756d79f.jpg,embeddings_train_data\topwear\positive\b3fe22b935ec60c544e415bf57fc8c44.jpg,embeddings_train_data\topwear\positive\094a765ecd316238bd053e1a55907122.jpg
embeddings_train_data\topwear\anchor\71aba49b5e96ef17bc2908e758d01666.jpg,embeddings_train_data\topwear\positive\120f3dd2ad5fcece6012440206c23e7f.jpg,embeddings_train_data\topwear\positive\3083c27b5c583bc6be0663db1291b5bf.jpg
embeddings_train_data\topwear\anchor\37f50d86e36ae913bd7c7cfcbe1c0919.jpg,embeddings_train_data\topwear\positive\d804ba9984695e9055cb90005e96013f.jpg,embeddings_train_data\topwear\positive\9c134deca189459b10c43863af228569.jpg
embeddings_train_data\topwear\anchor\7e4b9090188cc4121729eda506a85e05.jpg,embeddings_train_data\topwear\positive\fb2ea6e4b9a8a9804d6b4c3ae9a9cfed.jpg,embeddings_train_data\topwear\positive\fde54c092819818afdf7b247beb8a1c5.jpg
embeddings_train_data\topwear\anchor\b54a64626456d148d18e0fc8703580ed.jpg,embeddings_train_data\topwear\positive\f78998efab2d72304f7db04e6bbdcc21.jpg,embeddings_train_data\topwear\positive\5b7996182c94e3905e2f1146f4bd0123.jpg
embeddings_train_data\topwear\anchor\a59ccc8a80a07f20e88ebfbc0f613b16.jpg,embeddings_train_data\topwear\positive\27169dc23e61dc90f28e528e560c6d8f.jpg,embeddings_train_data\topwear\positive\29f2796c2ce32a10f15379ce54d43368.jpg
embeddings_train_data\topwear\anchor\a5fc36976611fecb98b0480c120209da.jpg,embeddings_train_data\topwear\positive\289744ad44c5909e95d86a5f8ac8a149.jpg,embeddings_train_data\topwear\positive\4e64f2711dc57a08b0cc0d98fdb1ac65.jpg
embeddings_train_data\topwear\anchor\505e5a480bb1b8f948f33bdb420fc489.jpg,embeddings_train_data\topwear\positive\84cb3306264f0f6876fd9ccbbd4aeb75.jpg,embeddings_train_data\topwear\positive\997e5303b44fb793cbe6419b15294304.jpg
embeddings_train_data\topwear\anchor\c810c3a1ba4b78a2e68c7e9c8db44a19.jpg,embeddings_train_data\topwear\positive\aac9a6e64f6e5c4f4fc01b1f17fef93b.jpg,embeddings_train_data\topwear\positive\ef81d9714f5515f51571ad976e173f30.jpg
embeddings_train_data\topwear\anchor\bcc2bf7622f3f4b1b7c51adc5114703f.jpg,embeddings_train_data\topwear\positive\f529ffa9deff253a7edd67ea2583582b.jpg,embeddings_train_data\topwear\positive\01f5c041363b8c0bdae0f1fd9d24b097.jpg
embeddings_train_data\topwear\anchor\834823c96792c11ee892710dbad24974.jpg,embeddings_train_data\topwear\positive\393c5ec8b9c56a3530a5d4e2776dd21b.jpg,embeddings_train_data\topwear\positive\b8c43bd1916f97833a3792ce194c967a.jpg
embeddings_train_data\topwear\anchor\5d8531fc21c860ef1813b7d8c58af890.jpg,embeddings_train_data\topwear\positive\946a6085bf8f3eaa48d6e13fc82a9742.jpg,embeddings_train_data\topwear\positive\4ce2120a7f1fd9b4da005b3c5abb5cd1.jpg
embeddings_train_data\topwear\anchor\b8c8415458bfe4dec552a0c0fa61824e.jpg,embeddings_train_data\topwear\positive\fd140c64bab2df58d7fa75509c8c15e3.jpg,embeddings_train_data\topwear\positive\2b68a7ec620bde9990fd738fd27db5a8.jpg
embeddings_train_data\topwear\anchor\18c95688e4349c52eb95e42a5757c62c.jpg,embeddings_train_data\topwear\positive\64c5a4fcf991914bb3d82dd484d201c7.jpg,embeddings_train_data\topwear\positive\964c164d601ebfc710cd5ae1c30c5785.jpg
embeddings_train_data\topwear\anchor\51b85d1dcd4ce5ebe3f5768179c8c99e.jpg,embeddings_train_data\topwear\positive\85ce6abb325af6ef6c19077543274730.jpg,embeddings_train_data\topwear\positive\48062ca4830b8850834cdd6a146b4f4f.jpg
embeddings_train_data\topwear\anchor\3f644fab5dad8f8bcbdfa955937d4d1c.jpg,embeddings_train_data\topwear\positive\599b62ffd84876343bedb596436c8132.jpg,embeddings_train_data\topwear\positive\919cfec8950c6f5ca737f22a0440ecdf.jpg
embeddings_train_data\topwear\anchor\66d3229ce5418a0e434fe6a7293b7313.jpg,embeddings_train_data\topwear\positive\a79a58a0c6bd16e48944ec4ca0b27eb0.jpg,embeddings_train_data\topwear\positive\0cef85bb6c176e94abaa9e387f1dc19d.jpg
